customer_id,first_name,age,email,country
1,Morgan,40.0,user1@example.com,France
2,Casey,35.0,user2@example.com,France
3,Casey,35.0,user3@example.com,Spain
4,nan,50.0,user4@example.com,Spain
5,Jordan,,user5@example.com,France
6,Jordan,25.0,user6@example.com,France
7,Casey,25.0,user7@example.com,nan
8,Jamie,40.0,user8@example.com,Italy
9,Jamie,45.0,user9@example.com,Italy
10,nan,,user10@example.com,Italy
11,Casey,45.0,user11@example.com,nan
12,nan,,user12@example.com,nan
13,nan,50.0,user13@example.com,France
14,Morgan,,user14@example.com,nan
15,Jamie,30.0,user15@example.com,nan
16,Casey,35.0,user16@example.com,UK
17,Jordan,40.0,user17@example.com,Italy
18,Jordan,55.0,user18@example.com,France
19,nan,30.0,user19@example.com,France
20,Morgan,45.0,user20@example.com,UK
21,Jamie,50.0,user21@example.com,nan
22,Jamie,50.0,user22@example.com,Spain
23,Casey,55.0,user23@example.com,UK
24,Morgan,40.0,user24@example.com,UK
25,Jordan,50.0,user25@example.com,Italy
26,Casey,35.0,user26@example.com,France
27,Jamie,40.0,user27@example.com,Spain
28,nan,45.0,user28@example.com,France
29,Casey,,user29@example.com,nan
30,nan,40.0,user30@example.com,France
31,nan,25.0,user31@example.com,Italy
32,Jordan,55.0,user32@example.com,France
33,Jamie,50.0,user33@example.com,Spain
34,Casey,55.0,user34@example.com,Spain
35,nan,25.0,user35@example.com,Italy
36,Jordan,55.0,user36@example.com,UK
37,Jamie,45.0,user37@example.com,nan
38,nan,25.0,user38@example.com,UK
39,Jamie,,user39@example.com,nan
40,Jamie,55.0,user40@example.com,Spain
41,Morgan,35.0,user41@example.com,nan
42,Jamie,50.0,user42@example.com,nan
43,Morgan,55.0,user43@example.com,France
44,Jamie,25.0,user44@example.com,Italy
45,Jordan,40.0,user45@example.com,nan
46,Jordan,30.0,user46@example.com,UK
47,Casey,,user47@example.com,nan
48,Morgan,35.0,user48@example.com,Italy
49,Jordan,55.0,user49@example.com,Spain
50,nan,55.0,user50@example.com,Spain
51,Casey,50.0,user51@example.com,Spain
52,Morgan,40.0,user52@example.com,France
53,nan,30.0,user53@example.com,nan
54,nan,40.0,user54@example.com,Italy
55,Jamie,55.0,user55@example.com,nan
56,nan,35.0,user56@example.com,UK
57,Morgan,35.0,user57@example.com,nan
58,Morgan,35.0,user58@example.com,France
59,Morgan,50.0,user59@example.com,France
60,nan,40.0,user60@example.com,France
61,Casey,40.0,user61@example.com,nan
62,Jordan,50.0,user62@example.com,nan
63,Jamie,45.0,user63@example.com,nan
64,Jamie,45.0,user64@example.com,UK
65,Morgan,40.0,user65@example.com,France
66,Casey,50.0,user66@example.com,nan
67,Morgan,55.0,user67@example.com,nan
68,nan,55.0,user68@example.com,Spain
69,nan,40.0,user69@example.com,Spain
70,Jamie,,user70@example.com,Spain
71,Jamie,55.0,user71@example.com,France
72,Casey,,user72@example.com,Spain
73,nan,30.0,user73@example.com,France
74,Morgan,,user74@example.com,Spain
75,nan,45.0,user75@example.com,Spain
76,Morgan,35.0,user76@example.com,France
77,Jamie,45.0,user77@example.com,Spain
78,Jamie,40.0,user78@example.com,UK
79,Jordan,40.0,user79@example.com,France
80,nan,,user80@example.com,UK
81,Morgan,25.0,user81@example.com,France
82,Jordan,25.0,user82@example.com,UK
83,Morgan,,user83@example.com,Italy
84,Casey,35.0,user84@example.com,Italy
85,nan,30.0,user85@example.com,nan
86,Casey,,user86@example.com,Italy
87,Jordan,25.0,user87@example.com,nan
88,nan,50.0,user88@example.com,Italy
89,Jordan,50.0,user89@example.com,France
90,Casey,35.0,user90@example.com,Spain
91,Jordan,50.0,user91@example.com,Italy
92,Jordan,,user92@example.com,Italy
93,Jordan,45.0,user93@example.com,UK
94,Jamie,50.0,user94@example.com,nan
95,Morgan,45.0,user95@example.com,Italy
96,Jordan,50.0,user96@example.com,Spain
97,Jamie,55.0,user97@example.com,Spain
98,Casey,35.0,user98@example.com,nan
99,nan,55.0,user99@example.com,nan
100,Jordan,,user100@example.com,UK
